school_visible_id,fellow_visible_id,group_name,session_number,session_date
ANS23_School_1,TFW23_S_006,2_S09,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_008,2_S10,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_008,2_S10,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_008,2_S10,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_008,2_S10,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_008,2_S10,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_048,2_S11,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_048,2_S11,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_048,2_S11,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_048,2_S11,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_048,2_S11,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_049,2_S12,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_049,2_S12,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_049,2_S12,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_049,2_S12,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_049,2_S12,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_050,2_S13,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_050,2_S13,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_050,2_S13,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_050,2_S13,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_050,2_S13,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_047,2_S14,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_047,2_S14,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_047,2_S14,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_047,2_S14,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_047,2_S14,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_046,2_S15,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_046,2_S15,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_046,2_S15,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_046,2_S15,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_046,2_S15,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_044,2_S16,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_044,2_S16,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_044,2_S16,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_044,2_S16,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_044,2_S16,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_043,2_S17,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_043,2_S17,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_043,2_S17,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_043,2_S17,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_043,2_S17,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_042,2_S18,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_042,2_S18,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_042,2_S18,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_042,2_S18,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_042,2_S18,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_041,2_S19,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_041,2_S19,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_041,2_S19,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_041,2_S19,3,2023-06-04 21:00:00
